frame,time_seconds,mph,rpm,mph_raw,rpm_raw,mph_corrected,rpm_corrected
1,0.0,181,8042,181,8042,,
2,0.033,181,8062,181,8062,,
3,0.067,181,8062,181,8062,,
4,0.1,181,8062,181,8062,,
5,0.133,181,8062,181,8062,,
6,0.167,181,8062,181,8062,,
7,0.2,181,8062,181,8062,,
8,0.233,181,8062,181,8062,,
9,0.267,181,8062,181,8062,,
10,0.3,182,8102,182,8102,,
11,0.333,182,8102,182,8102,,
12,0.367,182,8102,182,8102,,
13,0.4,182,8102,182,8102,,
14,0.433,182,8102,182,8102,,
15,0.467,182,8130,182,8130,,
16,0.5,182,8130,182,8130,,
17,0.533,183,8130,183,8130,,
18,0.567,183,8130,183,8130,,
19,0.6,183,8130,183,8130,,
20,0.633,183,8130,183,8130,,
21,0.667,183,8130,183,8130,,
22,0.7,183,8130,183,8130,,
23,0.733,183,8186,183,8186,,
24,0.767,183,8186,183,8186,,
25,0.8,183,8186,183,8186,,
26,0.833,183,8186,183,8186,,
27,0.867,183,8186,183,8186,,
28,0.9,183,8186,183,8186,,
29,0.933,184,8220,184,8220,,
30,0.967,184,8220,184,8220,,
31,1.0,184,8220,184,8220,,
32,1.033,184,8220,184,8220,,
33,1.067,184,8220,184,8220,,
34,1.1,185,8220,185,8220,,
35,1.133,185,8220,185,8220,,
36,1.167,185,8220,185,8220,,
37,1.2,185,8220,185,8220,,
38,1.233,185,8252,185,8252,,
39,1.267,185,8252,185,8252,,
40,1.3,185,8252,185,8252,,
41,1.333,185,8252,185,8252,,
42,1.367,185,8252,185,8252,,
43,1.4,185,8257,185,8257,,
44,1.433,186,8257,186,8257,,
45,1.467,186,8257,186,8257,,
46,1.5,186,8257,186,8257,,
47,1.533,186,8257,186,8257,,
48,1.567,186,8257,186,8257,,
49,1.6,186,8257,186,8257,,
50,1.633,186,8275,186,8275,,
51,1.667,186,8275,186,8275,,
52,1.7,186,8275,186,8275,,
53,1.733,186,8275,186,8275,,
54,1.767,186,8275,186,8275,,
55,1.8,186,8334,186,8334,,
56,1.833,187,8334,187,8334,,
57,1.867,187,8334,187,8334,,
58,1.9,187,8334,187,8334,,
59,1.933,187,8334,187,8334,,
60,1.967,187,8334,187,8334,,
61,2.0,187,8334,187,8334,,
62,2.033,187,8334,187,8334,,
63,2.067,188,8335,188,8335,,
64,2.1,188,8335,188,8335,,
65,2.133,188,8335,188,8335,,
66,2.167,188,8335,188,8335,,
