frame,time_seconds,mph,rpm
1,0.0,177,7804
2,0.033,177,7804
3,0.067,177,7304
4,0.1,177,7304
5,0.133,177,7304
6,0.167,177,7804
7,0.2,177,7896
8,0.233,177,7896
9,0.267,177,7836
10,0.3,177,78396
11,0.333,178,78396
12,0.367,178,7836
13,0.4,178,7368
14,0.433,178,7368
15,0.467,178,7368
16,0.5,178,7368
17,0.533,178,7368
18,0.567,178,7368
19,0.6,178,7368
20,0.633,178,7368
21,0.667,178,7368
22,0.7,173,7349
23,0.733,178,7349
24,0.767,178,7349
25,0.8,173,7349
26,0.833,180,8078
27,0.867,180,8078
28,0.9,180,8078
29,0.933,180,8078
30,0.967,180,8078
31,1.0,180,8078
32,1.033,180,8078
33,1.067,181,8089
34,1.1,181,8089
35,1.133,181,8089
36,1.167,181,8089
37,1.2,181,8089
38,1.233,181,8089
39,1.267,181,8089
40,1.3,181,8145
41,1.333,181,8145
42,1.367,181,8145
43,1.4,181,8145
44,1.433,182,8119
45,1.467,182,8119
46,1.5,182,8119
47,1.533,182,8119
48,1.567,182,8119
49,1.6,182,8119
50,1.633,182,8119
51,1.667,183,8119
52,1.7,183,8170
53,1.733,183,8170
54,1.767,183,8170
55,1.8,184,8170
56,1.833,184,16
57,1.867,184,16
58,1.9,184,16
59,1.933,184,16
60,1.967,184,216
61,2.0,184,16
62,2.033,184,16
63,2.067,184,16
64,2.1,184,816
65,2.133,184,8216
66,2.167,185,8254
67,2.2,185,8254
68,2.233,185,8284
69,2.267,185,8284
70,2.3,185,8284
71,2.333,185,8284
72,2.367,185,8284
73,2.4,185,8284
74,2.433,186,8284
75,2.467,186,8284
76,2.5,186,8284
77,2.533,186,8289
78,2.567,186,8289
79,2.6,186,8289
80,2.633,186,8289
81,2.667,186,8289
82,2.7,186,8289
83,2.733,186,8336
84,2.767,186,8336
85,2.8,186,8336
86,2.833,186,8336
87,2.867,188,8336
88,2.9,188,8360
89,2.933,188,8360
90,2.967,188,8360
91,3.0,188,8360
92,3.033,188,8360
