frame,time_seconds,mph,rpm
1,0.0,175,7777
2,0.033,175,7777
3,0.067,175,7777
4,0.1,175,7777
5,0.133,175,7777
6,0.167,175,7777
7,0.2,175,7777
8,0.233,175,7811
9,0.267,175,7811
10,0.3,175,7811
11,0.333,175,7811
12,0.367,175,7811
13,0.4,176,7868
14,0.433,176,7868
15,0.467,176,7868
16,0.5,176,7868
17,0.533,176,7868
18,0.567,176,7868
19,0.6,176,7868
20,0.633,176,7804
21,0.667,176,7804
22,0.7,177,7804
23,0.733,177,7804
24,0.767,177,7831
25,0.8,177,7831
26,0.833,177,7831
27,0.867,177,7831
28,0.9,177,7831
29,0.933,178,7831
30,0.967,178,7831
31,1.0,178,7831
32,1.033,178,7859
33,1.067,178,7859
34,1.1,178,7859
35,1.133,178,7859
36,1.167,178,7859
37,1.2,178,7859
38,1.233,178,7859
39,1.267,179,7859
40,1.3,179,7874
41,1.333,179,7874
42,1.367,179,7874
43,1.4,179,7874
44,1.433,179,7874
45,1.467,179,7874
46,1.5,179,7874
47,1.533,179,7874
48,1.567,180,8020
49,1.6,180,8020
50,1.633,180,8020
51,1.667,180,8020
52,1.7,180,8020
53,1.733,180,8020
54,1.767,180,8037
55,1.8,180,8037
56,1.833,181,8037
57,1.867,181,8037
58,1.9,181,8079
59,1.933,181,8079
60,1.967,181,8079
61,2.0,181,8079
62,2.033,181,8079
63,2.067,181,8079
64,2.1,181,8079
65,2.133,181,8079
66,2.167,181,8118
67,2.2,181,8118
68,2.233,181,8118
69,2.267,182,8118
70,2.3,182,8105
71,2.333,182,8105
72,2.367,182,8105
73,2.4,182,8105
74,2.433,182,8105
75,2.467,182,8105
76,2.5,182,8105
77,2.533,182,8105
78,2.567,182,8105
79,2.6,183,8124
80,2.633,183,8124
81,2.667,183,8124
82,2.7,183,8124
83,2.733,183,8124
84,2.767,183,8162
85,2.8,183,8162
86,2.833,184,8162
87,2.867,184,8162
88,2.9,184,8162
89,2.933,184,8162
90,2.967,184,8162
91,3.0,184,8203
92,3.033,184,8203
93,3.067,184,8203
94,3.1,184,8203
95,3.133,184,8203
96,3.167,184,8219
97,3.2,184,8219
98,3.233,184,8219
99,3.267,184,8219
100,3.3,184,8219
101,3.333,184,8219
102,3.367,185,8219
103,3.4,185,8219
104,3.433,185,8219
105,3.467,185,8206
106,3.5,185,8206
107,3.533,185,8206
108,3.567,185,8206
109,3.6,185,8206
110,3.633,185,8206
111,3.667,185,8206
112,3.7,185,8206
113,3.733,185,8206
114,3.767,185,8206
115,3.8,185,8206
116,3.833,185,8206
117,3.867,185,8206
118,3.9,185,8206
119,3.933,185,8206
120,3.967,185,8206
121,4.0,185,8206
122,4.033,185,8206
123,4.067,185,8206
124,4.1,185,8206
125,4.133,185,8206
126,4.167,185,8206
127,4.2,185,8206
128,4.233,185,8206
129,4.267,185,8254
130,4.3,185,8254
131,4.333,185,8254
132,4.367,185,7848
133,4.4,185,7848
134,4.433,185,7848
135,4.467,178,7848
136,4.5,178,7848
137,4.533,178,7848
138,4.567,178,7848
139,4.6,178,7848
140,4.633,178,7848
141,4.667,177,7760
142,4.7,177,7760
143,4.733,177,7760
144,4.767,177,7760
145,4.8,177,7691
146,4.833,177,7691
147,4.867,176,7691
148,4.9,176,7691
149,4.933,176,7691
150,4.967,176,7691
151,5.0,176,7691
152,5.033,176,7691
153,5.067,176,7615
154,5.1,176,7615
155,5.133,176,7615
156,5.167,172,7615
157,5.2,172,7615
158,5.233,172,7615
159,5.267,172,7524
160,5.3,172,7524
161,5.333,172,7524
162,5.367,172,7524
163,5.4,172,7524
164,5.433,172,7524
165,5.467,172,7488
166,5.5,172,7488
167,5.533,170,7488
168,5.567,170,7488
169,5.6,170,7488
170,5.633,170,7488
171,5.667,170,7428
172,5.7,169,7428
173,5.733,169,7428
174,5.767,169,7428
175,5.8,169,7428
176,5.833,168,7428
177,5.867,168,7428
178,5.9,168,7343
179,5.933,168,7343
180,5.967,168,7343
181,6.0,168,7343
182,6.033,167,7343
183,6.067,167,7343
184,6.1,167,7343
185,6.133,166,7268
186,6.167,166,7268
187,6.2,166,7268
188,6.233,166,7268
189,6.267,164,7240
190,6.3,164,7240
191,6.333,164,7240
192,6.367,164,7240
193,6.4,164,7240
194,6.433,163,7240
195,6.467,163,7240
196,6.5,163,7240
197,6.533,163,7145
198,6.567,163,7145
199,6.6,163,7145
200,6.633,163,7145
201,6.667,162,7145
202,6.7,162,7145
203,6.733,162,7270
204,6.767,162,7270
205,6.8,162,7270
206,6.833,162,7270
207,6.867,162,7270
208,6.9,162,7270
209,6.933,162,7270
210,6.967,162,7198
211,7.0,162,7198
212,7.033,162,7198
213,7.067,161,7117
214,7.1,161,7117
215,7.133,161,7117
216,7.167,161,7117
217,7.2,161,7117
218,7.233,161,7117
219,7.267,161,7117
220,7.3,160,7117
221,7.333,160,7117
222,7.367,160,7117
223,7.4,160,7117
224,7.433,160,7117
225,7.467,160,7117
226,7.5,160,7117
227,7.533,160,7117
228,7.567,160,7117
229,7.6,160,7117
230,7.633,160,7117
231,7.667,160,7117
232,7.7,160,7117
233,7.733,160,7117
234,7.767,160,7117
235,7.8,160,7117
236,7.833,160,7117
237,7.867,160,7117
238,7.9,160,7117
239,7.933,160,7117
240,7.967,160,7117
241,8.0,160,7117
242,8.033,160,7117
243,8.067,160,7117
