frame,time_seconds,mph,rpm
1,0.0,175,7813
2,0.033,175,7813
3,0.067,176,7813
4,0.1,176,7859
5,0.133,176,7859
6,0.167,176,7859
7,0.2,177,7859
8,0.233,177,7859
9,0.267,177,7859
10,0.3,177,7888
11,0.333,177,7888
12,0.367,177,7888
13,0.4,177,7888
14,0.433,177,7888
15,0.467,177,7952
16,0.5,177,7952
17,0.533,177,7952
18,0.567,177,7952
19,0.6,178,7952
20,0.633,178,7952
21,0.667,178,7952
22,0.7,178,7964
23,0.733,178,7964
24,0.767,179,7964
25,0.8,179,7964
26,0.833,179,7964
27,0.867,179,7964
28,0.9,179,7972
29,0.933,179,7972
30,0.967,179,7972
31,1.0,179,7972
32,1.033,179,7972
33,1.067,180,7972
34,1.1,180,7972
35,1.133,180,8001
36,1.167,180,8001
37,1.2,180,8001
38,1.233,180,8001
39,1.267,180,8001
40,1.3,180,8001
41,1.333,180,8041
42,1.367,181,8041
43,1.4,181,8041
44,1.433,181,8041
45,1.467,181,8041
46,1.5,181,8041
47,1.533,181,8070
48,1.567,181,8070
49,1.6,181,8070
50,1.633,181,8070
51,1.667,181,8070
52,1.7,181,8070
53,1.733,182,8100
54,1.767,182,8100
55,1.8,182,8100
56,1.833,182,8100
57,1.867,182,8100
58,1.9,183,8100
59,1.933,183,8129
60,1.967,183,8129
61,2.0,183,8129
62,2.033,183,8129
63,2.067,183,8129
64,2.1,183,8129
65,2.133,183,8171
66,2.167,183,8171
67,2.2,183,8171
68,2.233,184,8171
69,2.267,184,8171
70,2.3,184,8171
71,2.333,184,8183
72,2.367,184,8183
73,2.4,184,8183
74,2.433,184,8193
75,2.467,184,8193
76,2.5,185,8193
77,2.533,185,8193
78,2.567,185,8228
79,2.6,185,8228
80,2.633,185,8228
81,2.667,185,8228
82,2.7,185,8228
83,2.733,185,8228
84,2.767,185,8248
85,2.8,185,8248
86,2.833,185,8248
87,2.867,185,8248
88,2.9,185,8248
89,2.933,186,8248
90,2.967,186,8248
91,3.0,186,8276
92,3.033,186,8275
93,3.067,186,8275
94,3.1,186,8275
95,3.133,186,8275
96,3.167,186,8287
97,3.2,186,8287
98,3.233,186,8287
99,3.267,186,8287
100,3.3,186,8287
101,3.333,186,8287
102,3.367,186,8287
103,3.4,186,8287
104,3.433,186,8287
105,3.467,186,8287
106,3.5,186,8287
107,3.533,186,8287
108,3.567,186,8287
109,3.6,186,8287
110,3.633,186,8287
111,3.667,186,8287
112,3.7,186,8287
113,3.733,186,8287
114,3.767,186,8287
115,3.8,186,8287
116,3.833,186,8287
117,3.867,186,8287
118,3.9,186,8287
119,3.933,186,8287
120,3.967,186,8287
121,4.0,186,8287
122,4.033,187,8278
123,4.067,187,8278
124,4.1,187,8278
125,4.133,187,8278
126,4.167,188,8278
127,4.2,188,8278
128,4.233,187,8278
129,4.267,186,8278
130,4.3,185,8278
131,4.333,184,8278
132,4.367,184,8278
133,4.4,184,8278
134,4.433,184,8022
135,4.467,184,8022
136,4.5,184,8022
137,4.533,184,8022
138,4.567,184,8022
139,4.6,184,8022
140,4.633,184,7880
141,4.667,184,7880
142,4.7,184,7860
143,4.733,181,7860
144,4.767,181,7860
145,4.8,181,7860
146,4.833,181,7860
147,4.867,181,7860
148,4.9,176,7733
149,4.933,176,7733
150,4.967,176,7733
151,5.0,175,7733
152,5.033,174,7733
153,5.067,174,7733
154,5.1,174,7638
155,5.133,174,7638
156,5.167,174,7638
157,5.2,172,7638
158,5.233,172,7638
159,5.267,172,7638
160,5.3,172,7638
161,5.333,172,7488
162,5.367,172,7488
163,5.4,172,7488
164,5.433,172,7488
165,5.467,170,7488
166,5.5,170,7428
167,5.533,170,7428
168,5.567,170,7428
169,5.6,170,7428
170,5.633,168,7428
171,5.667,168,7428
172,5.7,168,7428
173,5.733,168,7374
174,5.767,168,7374
175,5.8,168,7374
176,5.833,166,7374
177,5.867,166,7374
178,5.9,166,7374
179,5.933,166,7374
180,5.967,166,7287
181,6.0,166,7287
182,6.033,165,7287
183,6.067,165,7287
184,6.1,165,7287
185,6.133,165,7306
186,6.167,165,7306
187,6.2,165,7306
188,6.233,165,7306
189,6.267,165,7306
190,6.3,165,7306
191,6.333,165,7174
192,6.367,163,7174
193,6.4,163,7174
194,6.433,163,7174
195,6.467,163,7174
196,6.5,163,7174
197,6.533,162,7174
198,6.567,162,7056
199,6.6,162,7056
200,6.633,162,7056
201,6.667,162,7056
202,6.7,162,7056
203,6.733,162,7056
204,6.767,160,7015
205,6.8,160,7015
206,6.833,160,7015
207,6.867,160,7015
208,6.9,160,7015
209,6.933,160,7015
210,6.967,160,7015
211,7.0,160,7066
212,7.033,160,7066
213,7.067,160,7066
