frame,time_seconds,mph,rpm
1,0.0,174,7762
2,0.033,174,7762
3,0.067,174,7762
4,0.1,174,7762
5,0.133,174,7838
6,0.167,174,7838
7,0.2,176,7838
8,0.233,176,7838
9,0.267,178,7838
10,0.3,176,7838
11,0.333,178,7843
12,0.367,177,7843
13,0.4,177,7843
14,0.433,177,7843
15,0.467,177,7843
16,0.5,177,7843
17,0.533,177,7856
18,0.567,177,7856
19,0.6,177,7856
20,0.633,177,7856
21,0.667,177,7856
22,0.7,177,7856
23,0.733,177,7856
24,0.767,177,7856
25,0.8,177,7856
26,0.833,177,7856
27,0.867,177,7856
28,0.9,177,7856
29,0.933,177,7856
30,0.967,177,7856
31,1.0,177,7856
32,1.033,177,7856
33,1.067,177,7856
34,1.1,177,7856
35,1.133,177,7856
36,1.167,177,7856
37,1.2,177,7856
38,1.233,177,7856
39,1.267,177,7856
40,1.3,177,7856
41,1.333,177,7856
42,1.367,177,7856
43,1.4,177,7856
44,1.433,177,7856
45,1.467,177,7856
46,1.5,177,7856
47,1.533,177,7856
48,1.567,177,7856
49,1.6,177,7856
50,1.633,177,7856
51,1.667,177,7856
52,1.7,178,7854
53,1.733,178,7854
54,1.767,181,7854
55,1.8,181,7854
56,1.833,181,8048
57,1.867,181,8048
58,1.9,181,8048
59,1.933,181,8048
60,1.967,181,8048
61,2.0,181,8105
62,2.033,182,8105
63,2.067,182,8105
64,2.1,182,8105
65,2.133,182,8105
66,2.167,182,8105
67,2.2,182,8105
68,2.233,182,6118
69,2.267,182,6118
70,2.3,182,6118
71,2.333,182,6118
72,2.367,183,8058
73,2.4,183,8058
74,2.433,183,8058
75,2.467,183,8058
76,2.5,183,8058
77,2.533,183,8058
78,2.567,183,8058
79,2.6,183,8145
80,2.633,183,8145
81,2.667,183,8145
82,2.7,183,8145
83,2.733,183,8145
84,2.767,183,8145
85,2.8,183,8145
86,2.833,183,8180
87,2.867,183,8180
88,2.9,184,8180
89,2.933,184,8180
90,2.967,184,6174
91,3.0,184,6174
92,3.033,184,8174
93,3.067,184,6174
94,3.1,184,8174
95,3.133,184,8174
96,3.167,185,8201
97,3.2,185,8201
98,3.233,185,8201
99,3.267,185,8201
